"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"52",2.69328833333333,7.33892888888889,7.58658885318375,2.18606369011522e-05,0.00536849419051998,3.22060403376187
"53",2.24111333333333,5.75172222222222,7.55069413009907,2.27526310697933e-05,0.00537052558517139,3.18256740985944
"54",2.15828666666666,6.38628444444444,7.53881386790612,2.30565149657411e-05,0.00537052558517139,3.16994147034794
"55",2.10882,5.91935666666667,7.47162127374127,2.4860438763692e-05,0.00541655980702153,3.09818564600031
"56",2.60558333333333,6.60146555555556,7.46922733954893,2.4927477411407e-05,0.00541655980702153,3.09561825309721
"57",2.26870166666666,7.88379444444444,7.44171908884294,2.57120684546793e-05,0.00541655980702153,3.06606287594333
"58",2.09746833333333,8.39900888888889,7.37400475290327,2.77601657935938e-05,0.00541655980702153,2.99288472176631
"59",2.440905,6.78985333333333,7.358356779944,2.82582580066691e-05,0.00541655980702153,2.97588782486481
"60",2.17852833333333,8.94112222222222,7.35695091719089,2.83034813000191e-05,0.00541655980702153,2.97435917877404
"61",2.57612166666667,7.73175777777778,7.28452530227576,3.07430717946336e-05,0.00548615595044325,2.8952518093498
"62",2.01186,8.57308666666667,7.20487528052541,3.36925730926598e-05,0.00559598110405354,2.80744120898679
"63",2.241035,7.62646,7.19672730386974,3.40112031509222e-05,0.00559598110405354,2.79841013722964
"64",2.36135333333333,7.46611222222222,7.17707101545087,3.47934192450579e-05,0.00559598110405354,2.77658640457224
"65",2.51985,6.46166666666667,7.15942625309683,3.55122413553843e-05,0.00559598110405354,2.75695129878558
"66",2.11710166666666,6.91403444444444,7.1571120644118,3.56077078288557e-05,0.00559598110405354,2.75437292547895
"67",2.28909,7.64890666666667,7.14379607026676,3.6162470552305e-05,0.00559598110405354,2.73952261730651
"68",2.86687,5.82639,7.14159951883337,3.62548801173912e-05,0.00559598110405354,2.73707064891292
"69",2.107785,9.98474,7.13991881560437,3.63257609110515e-05,0.00559598110405354,2.73519406747297
"70",2.10054833333333,7.13191888888889,7.12091614900326,3.71377161040048e-05,0.00562466655951929,2.71394989105562
"71",2.27293166666667,4.89491444444444,7.11050637618001,3.75908451040289e-05,0.0056463721320406,2.70229127430062
"72",2.03493166666667,6.24856777777778,7.09366766834258,3.83365758654407e-05,0.00570274841437565,2.68340102800691
"73",2.12040333333333,7.82519555555556,7.08076498535648,3.89188573695713e-05,0.00570274841437565,2.66890002624073
"74",2.23808166666666,5.07739444444444,7.01801028527196,4.18911221002457e-05,0.00585638002175855,2.59804470222621
"75",2.24504,6.35068333333333,7.00916727102273,4.23293893862804e-05,0.00585638002175855,2.58801646049371
"76",2.26672833333333,6.41584888888889,6.93071120942659,4.6442939589549e-05,0.00597095092548942,2.49856905509683
"77",2.47727333333333,6.86924555555556,6.92620342053008,4.66921145460398e-05,0.00597095092548942,2.49340366804107
"78",2.040575,6.05622666666667,6.90682879310741,4.77797060699834e-05,0.00597095092548942,2.47117027152182
"79",2.23293166666667,7.37443111111111,6.90553290600226,4.78534243996479e-05,0.00597095092548942,2.46968129653532
"80",2.10981,7.0807,6.89870861581727,4.82436740722087e-05,0.00597095092548942,2.46183629661736
"81",2.675735,6.37641333333333,6.87784189432312,4.94585100372569e-05,0.00597095092548942,2.43780796465636
"82",2.08171,10.2864966666667,6.8544506697186,5.08598815589187e-05,0.00600596981476,2.41079979893891
"83",2.531725,5.32992333333333,6.83128026909602,5.22905614480811e-05,0.00609204631058468,2.38397051176005
"84",2.17821333333333,6.16332222222222,6.82475288921321,5.27014348080798e-05,0.00609204631058468,2.37639868053761
"85",2.60369333333333,6.36634555555556,6.79063444029932,5.49067920827522e-05,0.00613206818661642,2.33672267784464
